URN	RefSeq_IDs	Ensembl_IDs	Experiment_Type	DMS_Assay_Type	Score_Interpretation	Score_Hypothesis_Evaluation	Timestamp
urn:mavedb:00000175-a-2	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity after chymotrypsin digestion.	Does not fit: Higher scores indicate increased binding affinity/stability after digestion, not necessarily gain-of-function.	2025-04-17 17:56:48
urn:mavedb:00000175-a-1	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity after trypsin digestion.	Does not fit: Higher scores indicate increased binding affinity/stability after digestion, not necessarily gain-of-function.	2025-04-17 17:56:48
urn:mavedb:00000176-0-1	Not Found	Not Found	Other	N/A	The score represents the dG value calculated using a coupled model, reflecting the stability of the protein.	Does not fit: Lower dG values indicate increased stability, not necessarily gain-of-function.	2025-04-17 17:56:48
urn:mavedb:00000176-a-1	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity after trypsin digestion.	Does not fit: Higher scores indicate increased binding affinity/stability after digestion, not necessarily gain-of-function.	2025-04-17 17:56:48
urn:mavedb:00000176-a-2	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity after chymotrypsin digestion.	Does not fit: Higher scores indicate increased binding affinity/stability after digestion, not necessarily gain-of-function.	2025-04-17 17:56:48
urn:mavedb:00000177-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of increased expression or function.	2025-04-17 17:56:53
urn:mavedb:00000177-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of increased expression or function.	2025-04-17 17:56:53
urn:mavedb:00000177-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: Lower dG values indicate increased stability, which is the opposite of increased expression or function.	2025-04-17 17:56:53
urn:mavedb:00000178-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the protein's stability.	Does not fit: Lower dG values indicate increased stability, which is the opposite of increased expression or function.	2025-04-17 17:56:53
urn:mavedb:00000178-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of increased expression or function.	2025-04-17 17:56:53
urn:mavedb:00000178-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 17:56:58
urn:mavedb:00000179-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the stability of the protein.	Does not fit: dG values represent the change in free energy; more negative values indicate greater stability, which is the opposite of the hypothesis.	2025-04-17 17:56:58
urn:mavedb:00000179-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 17:56:58
urn:mavedb:00000179-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, suggesting increased stability, which is the opposite of the hypothesis.	2025-04-17 17:56:58
urn:mavedb:00000180-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, reflecting the stability of the protein.	Does not fit: dG values represent the change in free energy; more negative values indicate greater stability, which is the opposite of the hypothesis.	2025-04-17 17:56:58
urn:mavedb:00000180-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores (log10 K50) indicate increased resistance to trypsin digestion, suggesting greater protein stability.	"Does not fit: Higher scores indicate increased stability, so the hypothesis should be inverted.
urn:mavedb:00000182-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate a higher log10 K50 value, suggesting increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased protein stability, not necessarily gain-of-function.	2025-04-17 17:57:07
urn:mavedb:00000182-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate a higher log10 K50 value, suggesting increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased protein stability, not necessarily gain-of-function.	2025-04-17 17:57:07
urn:mavedb:00000182-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the stability of the protein variant.	Does not fit: dG values represent protein stability, not necessarily gain- or loss-of-function.	2025-04-17 17:57:07
urn:mavedb:00000183-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate a higher log10 K50 value, suggesting increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased protein stability, not necessarily gain-of-function.	2025-04-17 17:57:07
urn:mavedb:00000183-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores indicate a higher log10 K50 value, suggesting increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased protein stability, not necessarily gain-of-function.	2025-04-17 17:57:07
urn:mavedb:00000183-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) associated with the variant's stability.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:57:12
urn:mavedb:00000184-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to chymotrypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability/resistance to digestion, while lower values indicate decreased stability.	2025-04-17 17:57:12
urn:mavedb:00000184-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to trypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability/resistance to digestion, while lower values indicate decreased stability.	2025-04-17 17:57:12
urn:mavedb:00000184-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) associated with the variant's stability.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:57:12
urn:mavedb:00000185-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) associated with the variant's stability.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:57:12
urn:mavedb:00000185-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores, representing log10 K50 values, indicate increased resistance to trypsin digestion, suggesting greater protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:17
urn:mavedb:00000185-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores, representing log10 K50 values, indicate increased resistance to chymotrypsin digestion, suggesting greater protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:17
urn:mavedb:00000186-0-1	Not Found	Not Found	DMS	Protein Stability	The score, representing the dG value, indicates the stability of the protein variant.	Does not fit: dG values represent protein stability, where lower dG values indicate greater stability, which is the opposite of LoF.	2025-04-17 17:57:17
urn:mavedb:00000186-a-1	Not Found	Not Found	DMS	Protein Stability	Higher scores, representing log10 K50 values, indicate increased resistance to trypsin digestion, suggesting greater protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:17
urn:mavedb:00000186-a-2	Not Found	Not Found	DMS	Protein Stability	Higher scores, representing log10 K50 values, indicate increased resistance to chymotrypsin digestion, suggesting greater protein stability.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:17
urn:mavedb:00000187-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: Lower dG values indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:57:22
urn:mavedb:00000187-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 17:57:22
urn:mavedb:00000187-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 17:57:22
urn:mavedb:00000188-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 17:57:22
urn:mavedb:00000188-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 17:57:22
urn:mavedb:00000188-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: dG values represent the change in free energy, so higher values indicate *lower* stability.	2025-04-17 17:57:27
urn:mavedb:00000189-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, which likely correlates with increased stability.	2025-04-17 17:57:27
urn:mavedb:00000189-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, which likely correlates with increased stability.	2025-04-17 17:57:27
urn:mavedb:00000189-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: dG values represent the change in free energy, so higher values indicate *lower* stability.	2025-04-17 17:57:27
urn:mavedb:00000190-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the calculated dG value, reflecting the stability of the protein variant.	Does not fit: dG values represent the change in free energy, so higher values indicate *lower* stability.	2025-04-17 17:57:27
urn:mavedb:00000190-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the concentration at which 50% of the protein is digested by trypsin.	Does not fit: Higher scores indicate increased resistance to trypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:57:32
urn:mavedb:00000190-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the concentration at which 50% of the protein is digested by chymotrypsin.	Does not fit: Higher scores indicate increased resistance to chymotrypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:57:32
urn:mavedb:00000191-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the stability of the protein variant.	Does not fit: Higher dG values indicate greater stability, while lower dG values indicate lower stability.	2025-04-17 17:57:32
urn:mavedb:00000191-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the concentration at which 50% of the protein is digested by trypsin.	Does not fit: Higher scores indicate increased resistance to trypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:57:32
urn:mavedb:00000191-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the concentration at which 50% of the protein is digested by chymotrypsin.	Does not fit: Higher scores indicate increased resistance to chymotrypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:57:32
urn:mavedb:00000192-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased protein stability (less digestion), which is the opposite of LoF.	2025-04-17 17:57:37
urn:mavedb:00000192-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased protein stability (less digestion), which is the opposite of LoF.	2025-04-17 17:57:37
urn:mavedb:00000192-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated from the counts across replicates and proteases, reflecting the variant's stability.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:37
urn:mavedb:00000193-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated from the counts across replicates and proteases, reflecting the variant's stability.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:37
urn:mavedb:00000193-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased protein stability (less digestion), which is the opposite of LoF.	2025-04-17 17:57:37
urn:mavedb:00000193-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, indicating the stability of the protein variant against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, thus increased stability, which is the opposite of LoF.	2025-04-17 17:57:42
urn:mavedb:00000194-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, indicating the stability of the protein variant against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, thus increased stability, which is the opposite of LoF.	2025-04-17 17:57:42
urn:mavedb:00000194-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, indicating the stability of the protein variant against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to digestion, thus increased stability, which is the opposite of LoF.	2025-04-17 17:57:42
urn:mavedb:00000194-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, indicating the stability of the protein variant.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:42
urn:mavedb:00000195-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, indicating the stability of the protein variant.	Does not fit: More negative dG values indicate increased stability, which is the opposite of LoF.	2025-04-17 17:57:42
urn:mavedb:00000195-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of increased expression or activity.	2025-04-17 17:57:47
urn:mavedb:00000195-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of increased expression or activity.	2025-04-17 17:57:47
urn:mavedb:00000196-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value calculated using a coupled model, reflecting the protein's stability.	Does not fit: dG values represent the change in free energy; lower dG values indicate greater stability, which is the opposite of increased expression or activity.	2025-04-17 17:57:47
urn:mavedb:00000196-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against trypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of increased expression or activity.	2025-04-17 17:57:47
urn:mavedb:00000196-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's stability against chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability (less digestion), which is the opposite of increased expression or activity.	2025-04-17 17:57:47
urn:mavedb:00000197-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of the protein variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:57:52
urn:mavedb:00000197-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher scores (higher log10 K50) likely indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 17:57:52
urn:mavedb:00000197-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher scores (higher log10 K50) likely indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 17:57:52
urn:mavedb:00000198-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher scores (higher log10 K50) likely indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 17:57:52
urn:mavedb:00000198-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher scores (higher log10 K50) likely indicate increased resistance to digestion (more stable), while lower scores indicate decreased resistance (less stable).	2025-04-17 17:57:52
urn:mavedb:00000198-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), reflecting the stability of the protein variant.	Does not fit: Lower dG values (more negative) indicate increased stability, while higher dG values indicate decreased stability.	2025-04-17 17:57:57
urn:mavedb:00000199-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Trypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 17:57:57
urn:mavedb:00000199-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher log10 K50 values indicate increased resistance to digestion (more stable), while lower values indicate decreased resistance (less stable).	2025-04-17 17:57:57
urn:mavedb:00000199-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), reflecting the stability of the protein variant.	Does not fit: Lower dG values (more negative) indicate increased stability, while higher dG values indicate decreased stability.	2025-04-17 17:57:57
urn:mavedb:00000200-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), reflecting the stability of the protein variant.	Does not fit: Lower dG values (more negative) indicate increased stability, while higher dG values indicate decreased stability.	2025-04-17 17:57:57
urn:mavedb:00000200-a-1	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity or stability of the protein variant against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to trypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:58:02
urn:mavedb:00000200-a-2	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity or stability of the protein variant against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to chymotrypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:58:02
urn:mavedb:00000201-a-1	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity or stability of the protein variant against trypsin digestion.	Does not fit: Higher scores indicate increased resistance to trypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:58:02
urn:mavedb:00000201-a-2	Not Found	Not Found	DMS	Binding Assay	The score represents the log10 of the K50 value, reflecting the binding affinity or stability of the protein variant against chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to chymotrypsin digestion (more stable), while lower scores indicate increased susceptibility (less stable).	2025-04-17 17:58:02
urn:mavedb:00000201-0-1	Not Found	Not Found	DMS	Binding Assay	The score represents the dG value calculated using a coupled model, reflecting the stability of the protein variant.	Does not fit: More negative dG values indicate increased stability, while more positive values indicate decreased stability.	2025-04-17 17:58:02
urn:mavedb:00000202-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of the protein variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:58:07
urn:mavedb:00000202-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to Trypsin digestion.	Does not fit: Higher scores indicate increased resistance to Trypsin digestion, suggesting increased stability.	2025-04-17 17:58:07
urn:mavedb:00000202-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to Chymotrypsin digestion, suggesting increased stability.	2025-04-17 17:58:07
urn:mavedb:00000203-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of the protein variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:58:07
urn:mavedb:00000203-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's resistance to Chymotrypsin digestion.	Does not fit: Higher scores indicate increased resistance to Chymotrypsin digestion, suggesting increased stability.	2025-04-17 17:58:07
urn:mavedb:00000203-a-1	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:58:12
urn:mavedb:00000204-0-1	Not Found	Not Found	Other	N/A	The score represents the dG value calculated using a coupled model.	Does not fit: dG values represent free energy change, not necessarily gain or loss of function in the way the hypothesis describes.	2025-04-17 17:58:12
urn:mavedb:00000204-a-1	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:58:12
urn:mavedb:00000204-a-2	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:58:12
urn:mavedb:00000205-a-2	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability, which is the opposite of LoF.	2025-04-17 17:58:12
urn:mavedb:00000205-a-1	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased protein stability, which is the opposite of LoF.	2025-04-17 17:58:16
urn:mavedb:00000205-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower dG values indicate greater stability, which is the opposite of LoF.	2025-04-17 17:58:16
urn:mavedb:00000206-a-2	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased protein stability, which is the opposite of LoF.	2025-04-17 17:58:16
urn:mavedb:00000206-a-1	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased protein stability, which is the opposite of LoF.	2025-04-17 17:58:16
urn:mavedb:00000206-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG) of protein folding, with lower dG values indicating greater stability.	Does not fit: Lower dG values indicate greater stability, which is the opposite of LoF.	2025-04-17 17:58:16
urn:mavedb:00000207-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), reflecting the stability of the protein variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:58:21
urn:mavedb:00000207-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against trypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability against trypsin digestion, while lower values indicate decreased stability.	2025-04-17 17:58:21
urn:mavedb:00000207-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against chymotrypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability against chymotrypsin digestion, while lower values indicate decreased stability.	2025-04-17 17:58:21
urn:mavedb:00000208-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), reflecting the stability of the protein variant.	Does not fit: Lower dG values likely indicate decreased stability, while higher dG values indicate increased stability.	2025-04-17 17:58:21
urn:mavedb:00000208-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, which is related to the protein's stability against trypsin digestion.	Does not fit: Higher log10 K50 values likely indicate increased stability against trypsin digestion, while lower values indicate decreased stability.	2025-04-17 17:58:21
urn:mavedb:00000208-a-2	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability, so deviation from WT/control would be indicated by a change in score, but the direction of change would depend on whether the variant is more or less stable than WT.	2025-04-17 17:58:26
urn:mavedb:00000209-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the dG value, where lower dG values indicate increased stability.	Does not fit: Lower dG values indicate increased stability, so the hypothesis is inverted.	2025-04-17 17:58:26
urn:mavedb:00000209-a-2	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased stability, so deviation from WT/control would be indicated by a change in score, but the direction of change would depend on whether the variant is more or less stable than WT.	2025-04-17 17:58:26
urn:mavedb:00000209-a-1	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability, so deviation from WT/control would be indicated by a change in score, but the direction of change would depend on whether the variant is more or less stable than WT.	2025-04-17 17:58:26
urn:mavedb:00000210-a-1	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased resistance to trypsin digestion.	Does not fit: Higher scores indicate increased stability, so deviation from WT/control would be indicated by a change in score, but the direction of change would depend on whether the variant is more or less stable than WT.	2025-04-17 17:58:26
urn:mavedb:00000210-a-2	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased protein stability against chymotrypsin digestion.	Fits	2025-04-17 17:58:30
urn:mavedb:00000210-0-1	Not Found	Not Found	DMS	Protein Stability	The dG value represents the change in Gibbs free energy, where lower dG values indicate increased protein stability.	Does not fit: Lower scores indicate increased stability, the opposite of the hypothesis.	2025-04-17 17:58:30
urn:mavedb:00000211-0-1	Not Found	Not Found	DMS	Protein Stability	The dG value represents the change in Gibbs free energy, where lower dG values indicate increased protein stability.	Does not fit: Lower scores indicate increased stability, the opposite of the hypothesis.	2025-04-17 17:58:30
urn:mavedb:00000211-a-2	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased protein stability against chymotrypsin digestion.	Fits	2025-04-17 17:58:30
urn:mavedb:00000211-a-1	Not Found	Not Found	DMS	Protein Stability	Higher log10 K50 values indicate increased protein stability against trypsin digestion.	Fits	2025-04-17 17:58:30
urn:mavedb:00000212-0-1	Not Found	Not Found	DMS	Protein Stability	The score represents the change in Gibbs free energy (dG), where lower dG values indicate greater protein stability.	"Does not fit: Lower dG values indicate increased stability, which is the opposite of the hypothesis.
urn:mavedb:00000213-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased protein stability (less digestion), while lower scores indicate decreased stability (more digestion). The provided hypothesis does not account for the log scale or the inverse relationship between score and digestion.	2025-04-17 17:58:40
urn:mavedb:00000214-a-1	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to trypsin digestion.	Does not fit: Higher scores indicate increased protein stability (less digestion), while lower scores indicate decreased stability (more digestion). The provided hypothesis does not account for the log scale or the inverse relationship between score and digestion.	2025-04-17 17:58:40
urn:mavedb:00000214-a-2	Not Found	Not Found	DMS	Protein Stability	The score represents the log10 of the K50 value, reflecting the variant's resistance to chymotrypsin digestion.	Does not fit: Higher scores indicate increased protein stability (less digestion), while lower scores indicate decreased stability (more digestion). The provided hypothesis does not account for the log scale or the inverse relationship between score and digestion.	2025-04-17 17:58:40
